ensembl_gene_id	external_gene_name	Fem7_Exe_shelf	Fem8_Exe_shelf	Fem9_Exe_shelf	Fem7_Exe_HVC	Fem8_Exe_HVC	Fem9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000737		3311	5425	4441	3718	4310	4587	4249.789201569984	-0.010255677643461504	0.16311384588292174	-0.06287435372483782	0.9498665571901834	0.9998207068924773
ENSTGUG00000000738	NCAPG2	16	36	16	13	21	17	19.42263606277391	-0.36199297031813776	0.6107049897037138	-0.5927460499279043	0.5533511180339623	0.9998207068924773
ENSTGUG00000000739		469	450	401	521	449	499	465.1244309100447	0.20315169868159488	0.1964098715167648	1.03432529695563	0.300984114523309	0.9998207068924773
ENSTGUG00000000740	FEZ1	4148	2685	2786	3527	2404	3102	3129.47038834503	-0.04633689592177335	0.26121355509389116	-0.1773908551764012	0.8592013899213068	0.9998207068924773
ENSTGUG00000000741	TMEM200B	19	11	20	30	23	47	25.064581594011074	1.0292334832726626	0.5743407653046905	1.792025824123157	0.07312882945849089	0.9998207068924773
ENSTGUG00000000742	ARSK	224	334	229	308	329	253	278.18246836509576	0.23725720574532733	0.23505302206893797	1.0093773892247295	0.3127936780214313	0.9998207068924773
ENSTGUG00000000743		7	15	10	13	16	4	10.771926450660308	0.11964355254105508	0.8417831995915935	0.1421310767417339	0.8869764716612343	0.9998207068924773
ENSTGUG00000000744		268	286	257	257	205	234	250.70260271325512	-0.1659898526596159	0.22174653183342147	-0.7485567024980999	0.45412443690489057	0.9998207068924773
ENSTGUG00000000745	EPB41	101	159	178	141	144	166	146.87774689289725	0.09587003685383849	0.2717565335110839	0.35277914247433656	0.7242540216069773	0.9998207068924773
ENSTGUG00000000746		2756	2654	2989	2524	2500	2999	2725.5663165404508	-0.024807591251984003	0.14682104476934338	-0.16896481898052734	0.8658243138630666	0.9998207068924773
ENSTGUG00000000747	NMUR2	0	0	2	2	0	0	0.698335797368171	0.1824979568743944	3.9614159988637363	0.046068869547338825	0.963255358155767	0.9998207068924773
ENSTGUG00000000748	PCSK5	253	284	264	182	325	247	256.1300762010091	-0.05735903706161054	0.22529501239635077	-0.25459523693627767	0.7990357383642835	0.9998207068924773
ENSTGUG00000000749		95	92	105	77	86	89	90.1492767795192	-0.17271006210783812	0.27570634316691384	-0.6264275972906387	0.5310345128739762	0.9998207068924773
ENSTGUG00000000750	SLC37A2	500	1431	1077	589	1480	1021	991.6446309317187	0.08154230776132396	0.34532538562142384	0.2361318083076517	0.8133303922617403	0.9998207068924773
ENSTGUG00000000751		136	159	141	116	133	156	138.9660492967438	-0.06554909809318821	0.2314669933986755	-0.2831898281941536	0.7770313252729079	0.9998207068924773
ENSTGUG00000000752		157	89	129	196	87	153	137.07919812288193	0.2728645866009699	0.4067834387776341	0.6707858791422672	0.5023569443731994	0.9998207068924773
ENSTGUG00000000753	G3BP1	3648	4166	4097	3392	4516	3872	3917.1986498305814	0.023985837069617093	0.12195470107730608	0.19667824903619474	0.8440793323795417	0.9998207068924773
ENSTGUG00000000754		352	834	304	403	898	322	509.0539675695439	0.17764982524938072	0.4121985410981968	0.4309812081723495	0.6664820343441844	0.9998207068924773
ENSTGUG00000000755	HEPACAM	431	673	372	431	602	357	472.8217061672864	-0.03237784928062899	0.26922632983634137	-0.12026256607335174	0.904275156786039	0.9998207068924773
ENSTGUG00000000756		1233	1320	956	1124	1206	1067	1146.8117028983356	-7.864939752668973e-5	0.17950023041246735	-4.3815764105686113e-4	0.9996504007941891	0.9998207068924773
ENSTGUG00000000757		6	8	13	6	9	12	8.867358404974842	0.03305287327497128	0.8281500558983139	0.039911696001901545	0.9681635264727418	0.9998207068924773
ENSTGUG00000000758		93	110	111	79	118	109	102.2195117145616	-0.00134080992366749	0.26692131070021724	-0.005023240445471104	0.9959920508587583	0.9998207068924773
ENSTGUG00000000759	MSANTD2	56	53	56	32	39	31	44.18777728943556	-0.6538568430527248	0.3818781793792269	-1.7122131568648953	0.08685739368249534	0.9998207068924773
ENSTGUG00000000760		56	65	65	82	59	60	64.66914878405733	0.17568866117454282	0.35630972269519556	0.4930784931873311	0.6219571265315372	0.9998207068924773
ENSTGUG00000000761	OSTF1	268	385	337	370	291	322	327.8112744142158	0.055136013224994326	0.22402657041139962	0.24611372268808665	0.8055942005723411	0.9998207068924773
ENSTGUG00000000762		185	141	543	109	135	466	258.7260579804725	-0.28576906551674547	0.8272115768354148	-0.34546066994128055	0.7297480731487257	0.9998207068924773
ENSTGUG00000000763	SIAE	912	941	1221	790	907	1028	959.1763611553899	-0.13544439608090963	0.173058667131052	-0.7826501748007904	0.43383256862008374	0.9998207068924773
