id	Fem4_E2_MSt	Fem5_E2_MSt	Fem6_E2_MSt	Fem4_E2_AreaX	Fem5_E2_AreaX	Fem6_E2_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HDAC11	1025	816	636	690	880	484	732.5328260155324	-0.11697673326637821	0.2331922043830532	-0.5016322632905273	0.6159262202178757	0.9998748158320103
unown4332	3	10	7	5	3	11	6.6958778611162035	0.170857338912227	1.1580538290242248	0.14753833943642436	0.882707120333962	NA
SNTA1	693	877	311	385	477	237	469.83041361948943	-0.5915597276526153	0.3350303374795463	-1.7656900330368746	0.07744786584045295	0.9998748158320103
SLC3A1	115	79	60	68	79	91	81.09802225971775	0.11124668740796542	0.3987564714008258	0.2789840300701764	0.7802570805480435	0.9998748158320103
unown4333	14	11	3	4	2	15	8.184016614648687	-0.06788415866844814	1.1775109742427303	-0.05765055286393841	0.9540269812396567	NA
unown4334	407	520	262	253	338	226	321.73274558237824	-0.36364137371296623	0.2611345825135724	-1.3925439143781964	0.16375775324196917	0.9998748158320103
unown4335	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4336	62	12	65	19	29	48	39.855513220386534	-0.383626665250431	0.7388325159229929	-0.5192335975781764	0.6035978525086858	NA
unown4337	785	767	633	689	616	498	654.8310641944038	-0.09988352932644948	0.2282204556058765	-0.4376624744757435	0.661630975772799	0.9998748158320103
unown4338	14	65	16	0	39	27	25.200476324341405	-0.3695083723847904	1.0914660588942557	-0.338543163457719	0.7349539054901071	NA
unown4339	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4340	104	46	37	64	38	24	50.58370368569269	-0.3631297386452348	0.57560281591887	-0.6308685930689004	0.5281264488897921	0.9998748158320103
unown4341	4	1	2	6	0	1	2.4051505280628738	0.2607096036556634	1.9642612030020798	0.1327265453582282	0.8944096484360191	NA
EDEM2	379	359	266	315	339	187	299.32386688211824	-0.09684279626972722	0.26571712140823184	-0.3644582470127838	0.7155158469458117	0.9998748158320103
ABHD5	79	138	79	66	128	57	87.56137250745095	-0.11120974860425431	0.39970022235484176	-0.27823289151319425	0.7808335875122887	0.9998748158320103
C1orf21	3535	4317	3642	3132	3820	2891	3500.833183348981	-0.06841083913945978	0.1870762884820489	-0.3656841799383047	0.714600752295756	0.9998748158320103
unown4342	77	95	65	39	107	102	79.5712908964647	0.23310552459139297	0.45474666946421943	0.5126052376942901	0.6082274886454613	0.9998748158320103
INTS12	272	286	242	248	269	244	257.88643980569753	0.10159882839144797	0.24449020944019104	0.4155537705337105	0.6777365609462365	0.9998748158320103
ARSB	83	50	19	61	65	27	48.73464493747147	0.19887850626204626	0.5796728966564388	0.3430874677929229	0.7315326588424083	0.9998748158320103
C1orf43	2097	2261	1655	1440	2359	1541	1842.8444617190958	-0.02155996335103957	0.1881639145274621	-0.11458075479128568	0.9087774346792651	0.9998748158320103
unown4343	769	717	796	520	884	687	719.8108505219764	0.009158663091660028	0.24937377070585512	0.036726649582016324	0.9707029596796326	0.9998748158320103
TSEN15	895	1200	1284	800	1258	968	1057.6363710780874	-0.03171926503988997	0.26850195796312537	-0.11813420386396632	0.9059613224308507	0.9998748158320103
unown4344	155	106	120	126	106	181	134.35249371047905	0.3285995525806382	0.4014205147732786	0.8185918269927747	0.413019331571557	0.9998748158320103
unown4345	16	25	10	33	43	58	31.62061304781423	1.6209990716355813	0.5955443102236091	2.721878194129576	0.006491206320982783	NA
unown4346	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
FAM19A5	558	471	325	448	398	405	428.90469569216907	0.09214721322229692	0.26407076559385106	0.3489489380434567	0.7271276443165945	0.9998748158320103
CLIP2	1319	1236	912	720	1111	640	955.271736135825	-0.3413341232220214	0.20196462288403377	-1.6900688761616054	0.09101477846408079	0.9998748158320103
unown4347	219	272	134	127	234	127	177.59025731822442	-0.20142850210855245	0.3161635842425267	-0.6371021589698267	0.5240583023692873	0.9998748158320103
unown4348	0	1	3	1	1	4	1.8178509403177743	0.7304416497669716	2.1455196465163175	0.3404497604824968	0.7335178507638671	NA
unown4349	999	927	639	754	962	543	780.5726547244775	-0.025245667611033782	0.21955426494598418	-0.11498600410811807	0.9084562155604698	0.9998748158320103
EIF4B	833	1402	840	462	1231	856	907.4725600204245	-0.1271365563827266	0.32567877654606736	-0.39037409109384535	0.6962599434450347	0.9998748158320103
ANO10	409	272	247	188	225	160	242.47085751511784	-0.5294967087123222	0.2762440336345739	-1.9167715651472155	0.05526695887362833	0.9998748158320103
AAK1	960	2183	674	564	1833	756	1092.2867071356359	-0.14340274201618747	0.4151148052718924	-0.3454532100397175	0.729753680512073	0.9998748158320103
PREPL	260	272	141	216	265	152	210.84054834391347	0.08572869339459654	0.29523991637251906	0.2903695897489293	0.7715335058324274	0.9998748158320103
NEIL1	134	280	174	121	242	150	178.2578250269226	-0.06028063626835859	0.3589008901729997	-0.1679590046135069	0.866615530419919	0.9998748158320103
UBAP2L	1704	2332	1484	1262	1929	1328	1627.2498102544419	-0.12963574634432323	0.20711320316183185	-0.6259173455157752	0.5313691567597576	0.9998748158320103
BRD1	1244	905	1009	987	1113	846	1006.0318906128136	0.054546398430174906	0.22571483094490452	0.24166067511748626	0.8090431031826482	0.9998748158320103
GSTCD	741	627	589	490	724	578	614.9443666925606	0.02970487727709323	0.21801127071491522	0.13625386054438046	0.8916205975826116	0.9998748158320103
unown4350	63	34	41	26	51	55	44.62774603509817	0.10713852665381166	0.5266148781554191	0.2034475877876584	0.8387852077901896	NA
unown4351	0	0	0	0	1	0	0.14333883809804354	1.1287274014139328	4.080472856796901	0.2766168140375681	0.7820743525735256	NA
unown4352	1584	1144	1030	1431	1405	993	1247.295358149471	0.1978408579154168	0.23592968348348212	0.8385585696310571	0.40171706788383826	0.9998748158320103
unown4353	25	49	43	13	66	39	38.12330886046592	0.10088532523507832	0.6371355965692456	0.1583420009465973	0.874187313611833	NA
unown4354	91	102	106	92	84	121	100.42945325929716	0.17949452830240262	0.39365294378654053	0.455971512814938	0.6484104633910164	0.9998748158320103
COMMD4	2954	2457	3212	2707	3041	3091	2922.3797121472353	0.19185160444122049	0.257211343791069	0.7458909145043782	0.45573331403819084	0.9998748158320103
