id	Mal7_Exe_MSt	Mal8_Exe_MSt	Mal9_Exe_MSt	Mal7_Exe_AreaX	Mal8_Exe_AreaX	Mal9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown6661	4047	3720	3827	2815	3981	4655	3788.7447677541563	0.08525263174316429	0.16132540875674573	0.5284513605151457	0.5971860977697585	0.9998924110731865
unown6662	0	0	3	0	0	0	0.4880848292953872	-2.352115531831377	3.992583437389112	-0.589121196517688	0.5557799752528816	NA
CNNM1	389	467	390	257	417	425	385.1014791220798	-0.07449475896839322	0.22479273252823237	-0.3313930932310599	0.7403475812480008	0.9998924110731865
THOC7	2293	1860	2465	2626	2287	2858	2395.155055541581	0.35503052692303716	0.18490540346331227	1.9200657215703272	0.05484959843463354	0.44401651379207974
unown6663	235	177	232	360	202	373	263.92906709789304	0.6616736996956392	0.2973899536345098	2.224936288563505	0.02608551548617549	0.2873627660677714
MASP1	20	26	8	8	34	41	22.231573817928535	0.6932728787822298	0.7444069104471281	0.9313090314621277	0.35169373151097916	0.9840801118957119
LGI2	245	193	231	168	131	231	196.62460160860553	-0.22863680763526023	0.265404511973738	-0.8614654134360913	0.3889817622239921	0.9968319564367037
ITPRIPL2	7	9	6	5	6	3	5.968326795111526	-0.4991359557199919	1.0488828305883615	-0.47587389283510917	0.6341642226115531	NA
SYT17	171	129	96	102	100	135	120.33819036458546	-0.11463687422516705	0.31117172080552485	-0.3684038958566304	0.7125720929565162	0.9998924110731865
GSG1	25	21	37	13	3	24	19.877935043495217	-0.9814397264848197	0.7651469990777453	-1.2826812725760912	0.1996037635854709	0.8468003265953638
CCDC149	448	335	355	332	282	276	336.14112570649155	-0.2115901002695636	0.24686280552687437	-0.8571161614159374	0.3913806902779719	0.9969506869556239
ZWILCH	145	159	146	121	137	191	147.79974042656394	0.10069763893306	0.25252050054888564	0.39877015416245726	0.6900625703922427	0.9998924110731865
