id	Mal1_Veh_MSt	Mal2_Veh_MSt	Mal3_Veh_MSt	Mal1_Veh_AreaX	Mal2_Veh_AreaX	Mal3_Veh_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown2845	177	323	255	168	322	165	231.23083360670006	-0.3393523604737488	0.3318397933605353	-1.0226391387155043	0.30647849712372466	0.8334301222474862
unown2846	9	1	2	6	1	1	3.260457160177112	-0.6253769027034	1.6402222272664622	-0.38127571514844766	0.7029986716516892	NA
unown2847	0	6	4	3	3	8	4.138072112785051	0.4585308135294703	1.546901366468187	0.29641890780429425	0.7669101874641101	NA
unown2848	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown2849	6	9	2	4	16	5	6.566289303325004	0.4305381602735336	1.1346403930149518	0.37944899804731363	0.7043544709782372	NA
unown2850	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown2851	0	0	2	0	0	0	0.3808741423586872	-2.085523758064773	4.025893180241434	-0.5180275940504967	0.6044390168544715	NA
unown2852	0	16	3	0	2	12	5.712830157629048	-0.3394321346147371	1.8017472240216807	-0.18839054118651033	0.8505705139867912	NA
unown2853	18	17	12	16	5	0	11.156400017328389	-1.2782584438113662	1.1162590684753917	-1.1451270407659366	0.2521565355253186	0.799024594603311
unown2854	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
NAPEPLD	437	427	388	378	514	221	385.20793093159045	-0.3015912422623498	0.2557041850649463	-1.1794536807668934	0.2382175704456678	0.7861087034386924
MALSU1	1393	1207	1120	1465	1808	1150	1329.498853107756	0.14652349409754384	0.17207836639447077	0.8514928236920544	0.3944956480538624	0.8772567467173392
MEGF6	15	16	16	41	32	25	23.68597331605897	0.9643450246946286	0.5881359680925321	1.6396634061035815	0.10107517160718892	0.5842889222274756
unown2855	0	0	9	6	0	0	2.674639710318445	-0.8248235815503284	2.7796583366346885	-0.29673559900492524	0.7666683763796602	NA
unown2856	44	90	50	35	67	28	51.189349488203554	-0.631527115849088	0.48895652409487844	-1.291581326209168	0.19650217438098136	0.7448255762904433
unown2857	18	25	15	26	16	30	21.796082922564047	0.285255855553389	0.6542085013754048	0.43603202183045386	0.6628134966204566	0.954247996662855
unown2858	20	22	12	8	17	15	15.47647854172207	-0.49836261703517737	0.7291215157583562	-0.6835110557899702	0.4942839665385428	0.9150721039087174
unown2859	217	155	175	131	160	152	164.5481594269184	-0.3818774291294032	0.2929477825279219	-1.3035682531340038	0.19238083086556165	0.7416349250020191
RAMP2	318	227	136	312	203	64	203.12083691782817	-0.33667621259574265	0.4622322257140181	-0.7283702733526921	0.46638695524090745	0.9072301873728115
unown2860	446	650	303	534	731	285	473.3939059251132	0.02938348393521188	0.31480710863509537	0.09333805727135396	0.9256349987047822	0.9913138940559395
unown2861	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
COPS4	4326	3949	3773	3903	4931	3519	4010.8659396063567	-0.06216407002920479	0.1566955485467269	-0.39671880028338746	0.6915748348511612	0.9622335350432607
HTR1A	24	27	19	24	56	16	26.33018059786961	0.3027376653378748	0.6106878924529809	0.495732221121747	0.6200833507752477	0.9420776834489037
unown2862	0	7	15	0	13	5	6.7129324605634455	-0.543163472833005	1.6338096763184855	-0.3324521091446418	0.7395478964307015	NA
unown2863	5	5	8	6	4	5	5.5823889293414855	-0.3548069845594068	1.1240635444561888	-0.31564673217034095	0.7522706625341818	NA
PMPCB	1553	1327	1106	1485	1819	1210	1387.8246487526355	0.08534367172966204	0.1731505651610116	0.49288705266599336	0.6220923961290741	0.9420776834489037
unown2864	4	1	0	1	0	0	0.95875617333446606	-2.2203961995429613	3.2572886791649895	-0.681670069265142	0.4954475974546527	NA
