id	Fem1_Veh_MSt	Fem2_Veh_MSt	Fem3_Veh_MSt	Fem1_Veh_AreaX	Fem2_Veh_AreaX	Fem3_Veh_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CALCRL	138	115	139	76	147	144	123.69596395583112	-0.14680332799523824	0.31144986979844663	-0.4713545974196147	0.6373875328659582	0.9998933113894561
RAB11FIP2	1671	1609	1344	1159	1965	1397	1496.215830878351	-0.07337462763173418	0.1964230780548186	-0.37355400576329667	0.7087361585444354	0.9998933113894561
PDCD10	838	886	969	659	1060	989	885.0258389551328	-0.026259841308429552	0.19415018702814071	-0.13525529751162882	0.8924100276346848	0.9998933113894561
FAM204A	3034	2709	2067	2236	3283	2129	2544.887847363896	-0.05407592628001348	0.23873049438647523	-0.22651453229293458	0.8208012578015531	0.9998933113894561
CAPN3	16	18	16	10	25	9	15.140067545097875	-0.2656033525235104	0.7125006905137335	-0.37277627384754214	0.70931496282967	0.9998933113894561
SYNJ2	29	42	29	34	50	45	37.60142596678649	0.34273783184785467	0.4652624069179562	0.736654900012785	0.46133223976635845	0.9998933113894561
WASHC4	631	442	672	544	546	551	565.7782287732277	-0.07143337340141925	0.28458636367790296	-0.2510077168780585	0.8018081429474834	0.9998933113894561
IPO5	758	572	858	810	882	760	773.4909242566125	0.17488400113026756	0.2679183460858012	0.6527511224418381	0.5139167387974359	0.9998933113894561
unown7268	9	4	6	2	23	25	10.631377602551174	1.2551498930299068	1.0159138249150403	1.2354885446458743	0.21664873720133074	0.9998933113894561
unown7269	68	120	195	53	77	192	115.74358712177394	-0.275991999938965	0.5380728681378828	-0.512926810255449	0.6080025185778777	0.9998933113894561
unown7270	46	84	124	56	62	171	89.67007830584724	0.1794075832825881	0.5481635721477771	0.32728840878580373	0.7434497585656008	0.9998933113894561
BCHE	315	177	232	329	577	201	298.22714463483555	0.5640599976472718	0.381503663770865	1.4785179048399704	0.13926920827039901	0.9998933113894561
unown7271	19	45	38	4	37	35	28.21262473400763	-0.5580788701724052	0.7362963094004956	-0.7579541864426864	0.4484784096271444	0.9998933113894561
CACUL1	454	521	426	356	552	491	459.46041722132156	-0.03226362221725532	0.2116510932796809	-0.15243777727441918	0.8788416632691415	0.9998933113894561
unown7272	14	35	22	6	28	14	18.93946883179298	-0.6860186096037172	0.7258600975783853	-0.945111340177553	0.34460203640021947	0.9998933113894561
SLITRK3	237	435	474	152	494	343	342.015150893692	-0.313792883403871	0.36223735204685314	-0.8662631880195609	0.38634584867210087	0.9998933113894561
unown7273	0	0	5	4	0	5	2.4854087352643135	0.9887946654510849	2.405613385667313	0.41103639983978346	0.6810458442728362	0.9998933113894561
unown7274	736	1404	1121	502	1536	1216	1043.7104115916272	-0.0977197044837932	0.3281396721897873	-0.29779911655203556	0.765856488868676	0.9998933113894561
unown7275	0	2	0	5	6	1	2.338022106869968	2.6008511910362735	2.12896513214966	1.2216504402822888	0.22183984532417955	0.9998933113894561
ALDH1L2	352	285	338	281	353	305	317.00050504214664	-0.06288632748536477	0.24580429009709354	-0.2558390150982493	0.7980751464926861	0.9998933113894561
SNX9	493	552	529	473	772	501	543.4211564110018	0.11400490800603141	0.21349010818612885	0.5340055751278068	0.5933376768577704	0.9998933113894561
RPS20	1249	1448	1753	916	1781	1511	1409.340118888138	-0.13449599928456815	0.22100524373189467	-0.6085647426887645	0.5428129801405326	0.9998933113894561
