id	Fem7_Exe_MSt	Fem8_Exe_MSt	Fem9_Exe_MSt	Fem7_Exe_AreaX	Fem8_Exe_AreaX	Fem9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown5191	2423	2704	2459	2446	2927	2461	2559.2782362831413	0.09535612970473598	0.13618473521876528	0.7001969020357326	0.4838043460506098	0.9999773224878018
unown5192	1205	791	845	1089	978	1026	992.566037742866	0.16714960254783887	0.23234213670751858	0.7194114890931445	0.4718874199657707	0.9999773224878018
VIL1	30	49	25	20	87	15	37.16839733754802	0.24740185190308098	0.7277195934967641	0.33996865566624473	0.7338801326666621	0.9999773224878018
RILPL2	329	380	309	233	366	288	314.83659492485236	-0.16160555167930477	0.22005107814738623	-0.734400181266389	0.46270487635741936	0.9999773224878018
unown5193	675	624	743	570	543	575	618.422340484163	-0.21896879609603623	0.16152661800198279	-1.3556205088956195	0.17521994302390892	0.9999773224878018
unown5194	47	14	23	41	169	31	53.833182419436326	1.5156727902820761	0.7307500320822505	2.0741330465127885	0.038066956222831315	0.9999773224878018
LTO1	507	585	603	426	585	615	547.7082544845514	-0.017189672297696735	0.16153415692845183	-0.1064150927862925	0.9152530187595458	0.9999773224878018
KCTD7	216	281	246	163	277	200	227.9529889299677	-0.17430422936368237	0.24667322997311103	-0.7066199659471871	0.47980267788726155	0.9999773224878018
unown5195	2490	2633	3257	2609	2532	2906	2719.2832018615527	3.46863995872844e-5	0.13507247862326727	2.5679842363764404e-4	0.999795104504793	0.9999773224878018
FGF19	8	18	38	2	9	7	13.071579583875206	-1.7750799879309347	0.9218193236356662	-1.925626793035753	0.05415099074695994	0.9999773224878018
TBX20	0	4	7	4	3	7	4.069617014453043	0.4400146566702007	1.47842434581085	0.2976240603159658	0.7659901088515756	0.9999773224878018
EXOC3L1	61	97	130	101	119	111	102.0463775016318	0.2673556798688318	0.3313724643868736	0.8068132044812784	0.4197741104208764	0.9999773224878018
KCNV2	8	0	2	1	0	6	2.844713624791389	-0.5569454216772104	2.126310827597586	-0.2619303887505834	0.7933751104588691	0.9999773224878018
MYH11	472	384	317	90	407	139	297.71133120463423	-0.8822939879530786	0.4604854837680907	-1.9160082544478616	0.05536404502327123	0.9999773224878018
FGF3	0	13	3	5	12	5	6.238853538089613	0.510974532655501	1.4026894497330384	0.3642820103571395	0.715647432017714	0.9999773224878018
SBNO1	3758	3949	4163	3284	3819	3907	3786.01390739846	-0.06047491899081202	0.09629586865512993	-0.62801156306502	0.5299963651722661	0.9999773224878018
unown5196	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown5197	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
KAT6A	1576	1709	1961	1669	2003	1724	1762.0967002056375	0.09486608768666951	0.12789765682466833	0.741734368259139	0.4582482924077729	0.9999773224878018
unown5198	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ANO1	76	96	166	54	133	102	102.04481105730808	-0.18010116569144857	0.4099620623745771	-0.43931178570102036	0.660435635567238	0.9999773224878018
VLDLR	963	765	941	684	793	1096	866.63351386061	-0.01661625484563233	0.1993231214901625	-0.08336340872753398	0.9335625828093942	0.9999773224878018
unown5199	101	94	150	56	97	144	104.91009862844365	-0.18219284714620299	0.3803100743861926	-0.47906395180368544	0.6318931336477887	0.9999773224878018
OGN	3	6	4	2	30	2	7.639043628001556	1.3939631448050611	1.3108736448325462	1.0633848275919293	0.28760747048359775	0.9999773224878018
HERPUD2	508	621	739	466	592	680	593.5112635574767	-0.05459554204454575	0.17762849808966213	-0.30735801198401946	0.75857088393277206	0.9999773224878018
unown5200	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown5201	22	63	76	37	56	49	49.457891507945114	-0.11404812715680324	0.511670464973632	-0.22289370789201307	0.8236182335866004	0.9999773224878018
LCLAT1	456	304	418	449	399	463	414.88105924647874	0.20501354354304396	0.23203762775554737	0.8835357675653649	0.37694686625219176	0.9999773224878018
ASIC5	16	6	10	11	1	17	10.222417816394916	-0.10041889195352735	1.082829956099724	-0.09273745280859148	0.9261121421677235	0.9999773224878018
LRRC75A	24	63	35	30	77	32	42.89960931034081	0.22743543779057537	0.5790924284398133	0.3927446235194791	0.6945081086972121	0.9999773224878018
unown5202	263	228	87	300	232	67	200.27426050150672	0.11442865594920626	0.5665637399419764	0.20196960709297293	0.839940484548665	0.9999773224878018
unown5203	23	49	69	37	42	67	46.90657934994707	0.11326027360566818	0.5065922716111262	0.22357284142030853	0.8230896981553589	0.9999773224878018
unown5204	28	2	16	26	2	7	13.94218753468571	-0.28637680537990357	1.1850735977135103	-0.24165318165254976	0.8090489100480688	0.9999773224878018
