id	Mal4_E2_MSt	Mal5_E2_MSt	Mal6_E2_MSt	Mal4_E2_AreaX	Mal5_E2_AreaX	Mal6_E2_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EPHX1	23	15	6	32	26	15	19.466579320329203	0.5506519182742471	0.7670884865330294	0.71784667341704	0.4728518314332191	0.999646313058517
unown4579	0	0	0	0	0	1	0.13832238538896077	0.7727616929896332	4.080472856796901	0.18938042724691406	0.8497946636854631	NA
unown4580	122	104	159	172	162	147	142.11101899932274	0.15737743173660487	0.29217586967732645	0.5386393883602009	0.5901357037074497	0.999646313058517
MCUB	237	222	396	3152	1249	2998	1281.537310221112	2.9325848925338	0.3279499169694184	8.942172998956014	3.8159160661289664e-19	1.2395049361803414e-15
CHST3	32	48	61	17	57	50	44.14216410884211	-0.3934258800554162	0.5732916055496283	-0.6862578768761657	0.4925505065774879	0.999646313058517
VGLL4	191	130	234	169	146	230	179.0584341878208	-0.20087586807517807	0.27214092248208194	-0.7381317967289684	0.46043436330967985	0.999646313058517
SLC16A6	305	324	322	372	497	536	386.1655496152597	0.3529428403016039	0.24697780544567033	1.4290467909240676	0.1529907852535024	0.9784974626849395
unown4581	33924	25007	32316	32962	20428	24005	28008.433279234083	-0.40631704340995395	0.22413052653737034	-1.8128590053626934	0.06985357045156702	0.7463876980898112
unown4582	476	288	473	476	658	514	470.340975070493	0.26423322455134085	0.2447456344595125	1.0796238516566967	0.28030971569048707	0.999646313058517
PSAP	25237	9621	32413	17488	12333	23168	19340.27891675984	-0.47903782882087254	0.3111118599948916	-1.5397607433825835	0.12361868418304181	0.9157504977535124
unown4583	0	3	0	0	0	1	0.7822881122201428	-1.9303829955877303	3.9808071577272424	-0.4849225092053546	0.6277313147720949	NA
unown4584	19	28	27	16	13	36	23.062755608035587	-0.4434927698441447	0.6529170153923616	-0.679248295555039	0.4969805511227875	0.999646313058517
BCDIN3D	315	153	233	261	155	222	219.38449385715762	-0.29242069549344263	0.3097305059271015	-0.9441133175376244	0.3451117445865656	0.999646313058517
FAIM2	714	457	586	559	356	696	552.1343824253115	-0.3170921356780029	0.2531417354006322	-1.2526268541857006	0.2103415371139271	0.999646313058517
unown4585	64	40	47	65	58	106	61.1644576938526	0.40094940417099323	0.4068988467603516	0.985378571021455	0.3244381515394253	0.999646313058517
